Felix｜投放・增长・营销项目池,,,,,,,,,,,,,,,,,,,
原飞书表格仅作只读参考；本表未复制、修改或计算任何业绩数据,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
客户,职位,方向标签,优先级,当前状态,关系依据,岗位核心,下一步动作,来源,,,,,,,,,,,
39AI,资深海外投放经理,海外投放 / 效果营销,P0,已参与,Felix已开展,海外效果投放与规模化获客,继续扩搜、查重并推进触达,驾驶舱与本地项目沉淀,,,,,,,,,,,
科漫智能 / A2H Market,海外运营负责人,海外增长 / 达人营销 / GTM,P0,已参与,Felix已开展,欧美供给增长、达人孵化与交易闭环,完成首批名单查重、电话初筛与分层,本地项目沉淀,,,,,,,,,,,
Aha.ai,出海B2B销售 / 核心销售,达人营销商业化 / 出海增长,P0,已参与,Felix已开展,向出海品牌销售海外达人营销能力,补客户反馈、联系结果与当前HC,驾驶舱与本地项目沉淀,,,,,,,,,,,
Tim合作,AI出海社区B2B商务经理,生态增长 / GTM / 商业化,P1,共同参与,Felix与York共同校准,AI创业者社区与出海服务生态合作,获取首轮8人反馈并迭代画像,群聊与本地项目沉淀,,,,,,,,,,,
ahaai,海外广告销售,广告商业化 / 海外营销,P0,驾驶舱推荐,源表Sheet1复制,海外广告与达人营销客户拓展,确认是否由Felix承接及本周推进节点,https://jxog8b3tny.feishu.cn/wiki/WEdYwfotmia558kDyGwc9IOTn2c,,,,,,,,,,,
魔力科技,DTC增长,DTC增长 / 北美独立站,P1,驾驶舱推荐,源表Sheet1复制,北美独立站增长操盘,补齐JD、渠道结构和核心增长指标,https://jxog8b3tny.feishu.cn/wiki/WEdYwfotmia558kDyGwc9IOTn2c,,,,,,,,,,,
notteAI,DTC增长,AI产品增长 / 北美独立站,P0,驾驶舱推荐,源表Sheet1复制,AI产品的北美DTC增长,确认业务阶段、预算与首要获客渠道,https://jxog8b3tny.feishu.cn/wiki/WEdYwfotmia558kDyGwc9IOTn2c,,,,,,,,,,,
蝴蝶梦境,AI增长（2–3 HC）,AI增长 / 用户增长,P2,驾驶舱推荐,源表Sheet1复制,乙女游戏用户增长,确认岗位是否恢复并拆分各HC画像,https://jxog8b3tny.feishu.cn/wiki/WEdYwfotmia558kDyGwc9IOTn2c,,,,,,,,,,,
ActionX（北京雨林时代）,海外增长负责人 / CMO,AI产品 / 海外增长 / GTM,待判断,未加入,职位市场相关岗位,AI产品全球化增长与市场负责人,核查岗位活跃度、负责人和当前流程,TTC职位市场,,,,,,,,,,,
CurioSea,GTM Leader / 全球增长负责人,全球增长 / 商业化,待判断,未加入,职位市场相关岗位,全球用户增长及商业化,核查岗位是否开放与客户反馈速度,TTC职位市场,,,,,,,,,,,
Goodnotes,内容增长运营,内容增长 / 全球用户增长,待判断,未加入,职位市场相关岗位,成熟AI产品内容与用户增长,核查当前HC和国内交付归属,TTC职位市场,,,,,,,,,,,
Refly,内容运营 / 投放,AI Agent / 内容增长 / 投放,待判断,未加入,职位市场相关岗位,AI Agent出海内容与付费增长,小规模人才供给测试岗位真实性,TTC职位市场,,,,,,,,,,,
Open Design,内容运营 / 投放,AI设计 / 内容增长 / 投放,待判断,未加入,职位市场相关岗位,AI设计工具出海增长,与Refly共用人才池并核查需求活跃度,TTC职位市场,,,,,,,,,,,
OiiOii,海外广告投放 / Global PR / 海外新媒体运营,AIGC内容 / 海外投放 / 品牌营销,待判断,未加入,职位市场相关岗位,海外传播、内容营销与付费投放,先确认最紧急的单一角色,TTC职位市场,,,,,,,,,,,
爱诗科技,海外创作者运营,创作者增长 / 海外营销,待判断,未加入,职位市场相关岗位,AIGC视频创作者生态增长,确认是否已有顾问主做及当前HC,TTC职位市场,,,,,,,,,,,
像素律动,海外社交媒体运营 / MKT Leader,海外社媒 / 市场营销,待判断,未加入,职位市场相关岗位,AI Agent与游戏海外市场增长,补最新岗位状态、客户活跃度与交付结果,TTC职位市场,,,,,,,,,,,
今日宜休,海外电商负责人,海外DTC / 电商增长,待判断,未加入,职位市场相关岗位,海外电商经营与DTC增长,核查近期反馈与历史成单,TTC职位市场,,,,,,,,,,,
RockFlow,增长,AI金融 / 全球增长,待判断,未加入,职位市场相关岗位,AI金融产品全球化增长,明确岗位的用户、市场与营收责任,TTC职位市场,,,,,,,,,,,
深度原理,Agent产品市场负责人（2B）,B2B产品市场 / GTM,待判断,未加入,职位市场相关岗位,AI垂直Agent产品市场与GTM,做72小时画像与人才供给试跑,TTC职位市场,,,,,,,,,,,
吾云创新,产品营销 / 中国区增长负责人,AI硬件 / 产品营销 / GTM,待判断,未加入,职位市场相关岗位,Agent Computer产品营销与增长,确认岗位层级、结果指标和招聘优先级,TTC职位市场,,,,,,,,,,,
